id,address,total_spaces,geo_shape,lat,lon
143,Pio XII - Menéndez PIdal (Nuevo Centro),30,"{""coordinates"": [-0.39093643241708165, 39.4795373575288], ""type"": ""Point""}",39.4795373575288,-0.39093643241708165
232,San Vicente Paul - Santiago Rusiñol,15,"{""coordinates"": [-0.36575333473149996, 39.49464439592328], ""type"": ""Point""}",39.49464439592328,-0.36575333473149996
2,Salvador Giner - C. Museo,15,"{""coordinates"": [-0.3797483936090024, 39.479889353348874], ""type"": ""Point""}",39.479889353348874,-0.3797483936090024
66,Guillem de Anglesola - Av. Puerto,25,"{""coordinates"": [-0.3462612916525901, 39.46427128532339], ""type"": ""Point""}",39.46427128532339,-0.3462612916525901
188,Hospital Nueva Fe (consultas externas),40,"{""coordinates"": [-0.3751583239336074, 39.44462122517277], ""type"": ""Point""}",39.44462122517277,-0.3751583239336074
27,San Vicente Martir - Doctor Vilá Barberá,20,"{""coordinates"": [-0.3818514137102655, 39.463362299305594], ""type"": ""Point""}",39.463362299305594,-0.3818514137102655
218,Olimpia Arozena Torres - Juan Bautista Vives,15,"{""coordinates"": [-0.3973844614710405, 39.47074033078547], ""type"": ""Point""}",39.47074033078547,-0.3973844614710405
89,"Blasco Ibañez, 23 (F. Filosofía y Psicología)",30,"{""coordinates"": [-0.3593183259089267, 39.47780233689744], ""type"": ""Point""}",39.47780233689744,-0.3593183259089267
204,Corts Valencianes - General Avilés,20,"{""coordinates"": [-0.3965874461307865, 39.485843380594176], ""type"": ""Point""}",39.485843380594176,-0.3965874461307865
216,Av. del Cid - Burgos,17,"{""coordinates"": [-0.3994613007254756, 39.469162243634074], ""type"": ""Point""}",39.469162243634074,-0.3994613007254756
21,Juan Llorens - Literato Gabriel Miró,16,"{""coordinates"": [-0.39021443540491124, 39.4723713328859], ""type"": ""Point""}",39.4723713328859,-0.39021443540491124
231,Alcañiz - Cambrils,15,"{""coordinates"": [-0.3786213772644184, 39.49507240298451], ""type"": ""Point""}",39.49507240298451,-0.3786213772644184
48,Antonio Ferrandis - General Urrutia,20,"{""coordinates"": [-0.35855273823228967, 39.450807354184086], ""type"": ""Point""}",39.450807354184086,-0.35855273823228967
